Whitelist id,Intersection id,Intersection name,Short description,Street,Number,Corner,Place of business,Bearing,Latitude,Longitude,Service id,Service name,Street view
15933,3436, & ,,,,SW,,-102.29,-16.720667,-49.285261,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.720667,-49.285261,-102.29h,0p,1z"
15934,3437, & ,,,,SW,,-170.968,-16.735014,-49.272797,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.735014,-49.272797,-170.968h,0p,1z"
15935,3438, & ,,,,NE,,-16.6852,-16.746207,-49.286254,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.746207,-49.286254,-16.6852h,0p,1z"
15936,3438, & ,,,,NE,,61.4876,-16.74633,-49.28614,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.74633,-49.28614,61.4876h,0p,1z"
15946,3443, & ,,,,SW,,152.804,-16.745573,-49.284606,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.745573,-49.284606,152.804h,0p,1z"
15951,3445, & ,,,,NW,,-102.753,-16.715461,-49.289743,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.715461,-49.289743,-102.753h,0p,1z"
15955,3446, & ,,,,SW,,-176.487,-16.728494,-49.26576,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.728494,-49.26576,-176.487h,0p,1z"
15956,3446, & ,,,,NW,,-56.5709,-16.728295,-49.265793,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.728295,-49.265793,-56.5709h,0p,1z"
15957,3447, & ,,,,SW,,-177.744,-16.728619,-49.278716,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.728619,-49.278716,-177.744h,0p,1z"
15964,3141, & ,,,,NE,,64.4025,-16.734602,-49.278692,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.734602,-49.278692,64.4025h,0p,1z"
15965,3450, & ,,,,SE,,79.4292,-16.716284,-49.284988,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.716284,-49.284988,79.4292h,0p,1z"
15971,3452, & ,,,,SE,,123.475,-16.744001,-49.28582,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.744001,-49.28582,123.475h,0p,1z"
15972,3453, & ,,,,NW,,-25.1263,-16.741965,-49.278378,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.741965,-49.278378,-25.1263h,0p,1z"
15977,3456, & ,,,,SW,,-116.143,-16.738211,-49.28843,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.738211,-49.28843,-116.143h,0p,1z"
