	VAN_ID	DAY	METHOD	CLIENT_DISTANCE_COST	CLIENT_DURATION_COST	OPERATOR_DISTANCE_COST	OPERATOR_DURATION_COST
7	55	15	GA 2	7.6071	91.92666666666668	266.0783	377.43
8	47	15	GA 2	5.857100000000001	70.51666666666665	258.962	346.83500000000004
9	24	15	GA 2	6.229600000000001	75.06666666666666	235.50469999999999	322.30333333333334
10	57	15	GA 2	3.6517000000000004	44.02833333333334	124.6035	173.79500000000002
11	23	15	GA 2	5.9218	71.535	228.14779999999996	302.1383333333333
12	60	15	GA 2	4.988	60.26166666666667	225.0171	314.15166666666664
13	61	15	GA 2	5.961099999999999	71.80333333333333	238.1301	327.695
14	44	15	GA 2	5.0448	60.69666666666667	241.1887	324.42499999999995
15	50	15	GA 2	3.9747	47.72	166.398	223.87
16	29	15	GA 2	6.940799999999999	83.77666666666667	203.87770000000003	289.4483333333334
17	30	15	GA 2	8.744699999999998	105.265	266.0277	360.275
18	49	15	GA 2	7.0615000000000006	85.22666666666669	250.4535	353.8283333333333
19	53	15	GA 2	5.4294	65.48999999999998	236.11709999999994	321.395
20	48	15	GA 2	7.3608	88.87166666666667	220.0783	312.0683333333333
21	34	15	GA 2	5.734	69.03	215.53520000000003	290.21999999999997
22	45	15	GA 2	6.0244	72.57000000000001	233.6406	310.65000000000003
23	32	15	GA 2	6.444400000000001	77.70333333333333	231.91880000000003	326.68166666666673
24	56	15	GA 2	7.4858	90.30166666666666	250.431	351.4833333333333
25	25	15	GA 2	8.043700000000001	97.05666666666667	253.2714	341.6516666666666
26	59	15	GA 2	4.836600000000001	58.18000000000001	232.81799999999998	318.71166666666676
27	31	15	GA 2	7.5561	91.08333333333334	225.00279999999998	304.31333333333333
28	43	15	GA 2	5.810300000000001	70.15833333333333	239.09969999999998	325.32166666666666
29	35	15	GA 2	6.2632	75.46333333333334	246.93630000000002	332.47499999999997
30	27	15	GA 2	6.8857	82.89999999999999	235.9185	329.66166666666663
31	46	15	GA 2	6.2143999999999995	74.95333333333335	254.2821	338.91999999999996
32	52	15	GA 2	6.6046	79.96333333333334	246.28549999999996	332.9
33	28	15	GA 2	6.631099999999999	79.77499999999999	249.1482	349.9483333333333
34	33	15	GA 2	6.069600000000001	73.01499999999999	250.78860000000003	343.77833333333336
35	51	15	GA 2	7.9503	96.00333333333333	248.05300000000003	345.355
36	36	15	GA 2	7.278200000000001	88.04499999999999	241.595	336.01666666666665
0	63	21	GA 1	8.308799999999998	100.16500000000002	272.23769999999996	373.01666666666665
1	58	21	GA 1	5.657	68.40666666666667	256.2612	345.53166666666664
2	54	21	GA 1	6.9395	83.78833333333333	259.2569	371.6983333333333
3	42	21	GA 1	8.1222	97.84833333333333	285.97709999999995	405.59833333333336
4	62	21	GA 1	4.2623999999999995	51.34499999999999	185.03060000000002	253.42499999999998
5	40	21	GA 1	6.570600000000001	79.09166666666667	233.03040000000001	326.44166666666666
6	38	21	GA 1	5.325600000000001	64.15833333333333	221.4805	305.83833333333337
7	26	21	GA 1	6.631600000000001	80.16833333333334	250.80479999999994	348.445
8	55	21	GA 1	7.4667	90.20333333333333	253.09329999999997	361.68666666666667
9	47	21	GA 1	6.5184	78.62666666666667	221.08109999999996	300.80166666666673
10	24	21	GA 1	6.8654	82.78666666666668	246.46910000000003	346.815
11	57	21	GA 1	7.033	84.69166666666666	257.7637	360.20666666666665
12	23	21	GA 1	4.590400000000001	55.225	216.7948	293.85999999999996
13	60	21	GA 1	7.0669	85.12833333333333	248.40929999999997	342.0866666666666
14	61	21	GA 1	6.5312	78.57333333333332	261.1426	348.26166666666654
15	44	21	GA 1	7.5175	90.425	233.2624	312.2116666666667
16	50	21	GA 1	6.2037	74.67	237.3582	337.2
17	29	21	GA 1	8.5157	102.69333333333333	274.2479000000001	374.8549999999999
18	49	21	GA 1	6.2763	75.61	263.1132	351.0616666666666
19	53	21	GA 1	5.9389	71.62666666666665	241.5085	324.17
20	48	21	GA 1	6.6555	80.45666666666669	226.90239999999997	316.31666666666666
21	34	21	GA 1	7.3532	88.75833333333333	257.46320000000003	348.2033333333333
22	45	21	GA 1	5.9346	71.38166666666667	247.7524999999999	333.5616666666667
23	32	21	GA 1	1.9345999999999997	23.33833333333334	105.465	144.04500000000002
24	56	21	GA 1	8.4481	101.57666666666667	252.65689999999998	344.0033333333334
25	25	21	GA 1	7.829799999999999	94.51833333333332	245.65529999999998	340.635
26	59	21	GA 1	5.381200000000001	64.89333333333333	201.8663	284.245
27	43	21	GA 1	7.5196000000000005	90.86500000000001	243.03760000000003	329.755
28	31	21	GA 1	5.3598	64.89666666666668	252.11640000000003	350.3633333333333
29	35	21	GA 1	3.4511	41.585	151.48550000000003	201.3033333333333
30	27	21	GA 1	5.4672	65.885	230.63870000000003	317.96333333333337
31	46	21	GA 1	7.432900000000001	89.56666666666668	258.5685	350.68666666666667
32	52	21	GA 1	6.7909	82.11666666666666	218.34140000000002	301.81833333333344
33	28	21	GA 1	5.8994	71.17333333333332	229.26739999999998	313.92999999999995
34	33	21	GA 1	8.1648	98.59833333333334	277.9719	387.16
35	51	21	GA 1	6.7345	81.29	239.5398	333.2416666666667
36	36	21	GA 1	7.145200000000001	86.01333333333334	262.93369999999993	369.4166666666667
37	41	21	GA 1	5.7254	68.85333333333332	228.97899999999998	319.3466666666667
0	58	11	DOOR-TO-DOOR	0.0	0.0	247.1864	341.7933333333333
